City    ,State   ,WBAN No ,Lat(N)  ,Long(W) ,Elev(m) ,Pres(mb),Stn Type,Year,Month,Flat-Plate Collector Facing South at Fixed Tilt=0,Flat-Plate Collector Facing South at Fixed Tilt=Lat-15,Flat-Plate Collector Facing South at Fixed Tilt=Lat,Flat-Plate Collector Facing South at Fixed Tilt=Lat+15,Flat-Plate Collector Facing South at Fixed Tilt=90,1-Axis Tracking Flat-Plate Collector with North-South Axis Axis Tilt=0,1-Axis Tracking Flat-Plate Collector with North-South Axis Axis Tilt=Lat-15,1-Axis Tracking Flat-Plate Collector with North-South Axis Axis Tilt=Lat,1-Axis Tracking Flat-Plate Collector with North-South Axis Axis Tilt=Lat+15,2-Axis Tracking Flat-Plate Collector,1-Axis Tracking Concentrating Collector with East-West Horizontal Axis,1-Axis Tracking Concentrating Collector with North-South Horizontal Axis,1-Axis Tracking Concentrating Collector with North-South Axis Axis Tilt=Lat,2-Axis Tracking Concentrating Collector
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,61, 1, 2.6, 3.9, 4.4, 4.8, 4.4, 3.9, 4.8, 5.3, 5.6, 5.6, 3.6, 2.8, 4.0, 4.3
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,61, 2, 2.9, 3.6, 3.9, 4.0, 3.3, 3.8, 4.3, 4.6, 4.6, 4.7, 2.3, 2.1, 2.7, 2.8
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,61, 3, 3.6, 4.1, 4.2, 4.1, 2.9, 4.6, 5.0, 5.1, 5.0, 5.1, 2.2, 2.5, 3.0, 3.0
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,61, 4, 5.1, 5.4, 5.3, 4.9, 2.9, 6.7, 7.0, 6.9, 6.7, 7.1, 3.4, 4.4, 4.6, 4.7
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,61, 5, 5.6, 5.5, 5.2, 4.6, 2.3, 7.2, 7.3, 7.0, 6.6, 7.3, 3.3, 4.5, 4.3, 4.6
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,61, 6, 6.0, 5.8, 5.4, 4.7, 2.3, 7.6, 7.6, 7.3, 6.8, 7.8, 3.4, 4.5, 4.2, 4.6
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,61, 7, 6.2, 6.1, 5.7, 5.0, 2.4, 8.0, 8.1, 7.8, 7.3, 8.2, 3.8, 5.0, 4.8, 5.1
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,61, 8, 5.5, 5.8, 5.6, 5.1, 2.8, 7.3, 7.6, 7.4, 7.1, 7.6, 3.4, 4.6, 4.6, 4.8
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,61, 9, 4.7, 5.3, 5.4, 5.2, 3.5, 6.6, 7.1, 7.1, 6.9, 7.1, 3.5, 4.4, 4.8, 4.8
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,61,10, 3.9, 5.0, 5.4, 5.4, 4.3, 5.6, 6.4, 6.7, 6.7, 6.8, 3.9, 4.0, 4.9, 5.0
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,61,11, 2.3, 3.1, 3.4, 3.5, 3.0, 3.1, 3.7, 3.9, 4.1, 4.1, 2.2, 1.8, 2.5, 2.6
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,61,12, 1.9, 2.6, 3.0, 3.1, 2.8, 2.5, 3.1, 3.4, 3.5, 3.6, 2.0, 1.4, 2.1, 2.3
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,62, 1, 2.3, 3.3, 3.7, 4.0, 3.7, 3.3, 4.0, 4.4, 4.6, 4.6, 2.7, 2.0, 2.9, 3.1
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,62, 2, 3.1, 4.0, 4.4, 4.5, 3.8, 4.2, 4.9, 5.2, 5.3, 5.3, 3.0, 2.7, 3.6, 3.7
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,62, 3, 3.9, 4.6, 4.7, 4.6, 3.3, 5.3, 5.8, 5.9, 5.8, 5.9, 2.8, 3.3, 3.8, 3.8
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,62, 4, 5.1, 5.4, 5.3, 4.8, 2.9, 6.7, 6.9, 6.8, 6.6, 6.9, 3.2, 4.2, 4.4, 4.5
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,62, 5, 6.7, 6.8, 6.4, 5.7, 2.8, 9.0, 9.1, 8.8, 8.3, 9.2, 4.7, 6.2, 6.0, 6.4
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,62, 6, 6.1, 5.9, 5.5, 4.7, 2.3, 7.7, 7.6, 7.3, 6.8, 7.8, 3.5, 4.6, 4.3, 4.7
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,62, 7, 6.1, 6.0, 5.6, 4.9, 2.4, 8.0, 8.0, 7.7, 7.2, 8.1, 3.7, 5.0, 4.8, 5.1
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,62, 8, 6.4, 6.7, 6.4, 5.8, 3.2, 8.7, 9.0, 8.8, 8.4, 9.0, 4.7, 6.3, 6.3, 6.5
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,62, 9, 4.0, 4.4, 4.4, 4.2, 2.8, 5.2, 5.5, 5.5, 5.4, 5.6, 2.4, 3.0, 3.3, 3.3
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,62,10, 3.5, 4.4, 4.7, 4.8, 3.8, 4.9, 5.6, 5.8, 5.8, 5.9, 3.2, 3.3, 4.1, 4.1
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,62,11, 2.3, 3.2, 3.5, 3.7, 3.2, 3.3, 3.8, 4.1, 4.3, 4.3, 2.4, 2.0, 2.8, 2.9
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,62,12, 2.1, 3.1, 3.6, 3.9, 3.6, 3.1, 3.8, 4.2, 4.5, 4.5, 2.9, 2.1, 3.1, 3.4
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,63, 1, 2.4, 3.4, 3.9, 4.2, 3.8, 3.4, 4.2, 4.6, 4.8, 4.8, 3.0, 2.3, 3.3, 3.5
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,63, 2, 3.2, 4.1, 4.5, 4.6, 3.8, 4.5, 5.2, 5.5, 5.6, 5.6, 3.1, 2.9, 3.8, 3.9
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,63, 3, 4.3, 5.1, 5.2, 5.2, 3.7, 5.9, 6.4, 6.6, 6.5, 6.6, 3.4, 3.9, 4.5, 4.5
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,63, 4, 5.3, 5.7, 5.6, 5.2, 3.2, 6.9, 7.3, 7.2, 6.9, 7.3, 3.5, 4.4, 4.6, 4.7
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,63, 5, 6.0, 6.0, 5.7, 5.1, 2.6, 7.7, 7.8, 7.6, 7.2, 7.9, 3.7, 4.9, 4.7, 5.0
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,63, 6, 6.6, 6.5, 5.9, 5.1, 2.4, 8.6, 8.6, 8.3, 7.7, 8.8, 4.4, 5.8, 5.4, 5.9
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,63, 7, 6.6, 6.5, 6.0, 5.2, 2.5, 8.7, 8.7, 8.4, 7.9, 8.9, 4.4, 5.8, 5.5, 5.9
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,63, 8, 6.2, 6.4, 6.2, 5.6, 3.1, 8.2, 8.5, 8.3, 7.9, 8.5, 4.3, 5.7, 5.7, 5.9
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,63, 9, 4.8, 5.6, 5.7, 5.4, 3.7, 6.7, 7.2, 7.3, 7.1, 7.3, 3.6, 4.4, 4.9, 4.9
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,63,10, 4.2, 5.4, 5.9, 6.0, 4.7, 6.2, 7.1, 7.5, 7.5, 7.5, 4.4, 4.6, 5.6, 5.7
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,63,11, 2.8, 4.1, 4.6, 4.9, 4.4, 4.3, 5.2, 5.6, 5.9, 5.9, 3.8, 3.1, 4.3, 4.6
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,63,12, 2.0, 3.0, 3.5, 3.7, 3.4, 3.0, 3.7, 4.0, 4.3, 4.3, 2.6, 1.9, 2.8, 3.1
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,64, 1, 2.6, 3.8, 4.4, 4.7, 4.3, 3.8, 4.7, 5.2, 5.5, 5.5, 3.5, 2.7, 3.8, 4.1
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,64, 2, 3.2, 4.2, 4.6, 4.8, 3.9, 4.5, 5.2, 5.5, 5.7, 5.7, 3.2, 3.0, 3.8, 3.9
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,64, 3, 4.3, 5.0, 5.1, 5.0, 3.7, 5.8, 6.3, 6.5, 6.4, 6.5, 3.3, 3.8, 4.4, 4.4
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,64, 4, 5.1, 5.4, 5.3, 5.0, 3.0, 6.7, 7.0, 6.9, 6.6, 7.0, 3.2, 4.2, 4.4, 4.4
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,64, 5, 5.9, 5.9, 5.6, 4.9, 2.5, 7.6, 7.7, 7.5, 7.0, 7.8, 3.5, 4.7, 4.5, 4.8
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,64, 6, 6.2, 6.0, 5.5, 4.8, 2.3, 8.1, 8.1, 7.7, 7.2, 8.2, 3.7, 5.0, 4.7, 5.1
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,64, 7, 6.6, 6.6, 6.1, 5.3, 2.5, 8.8, 8.8, 8.5, 7.9, 8.9, 4.4, 5.8, 5.6, 6.0
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,64, 8, 5.6, 5.8, 5.6, 5.1, 2.8, 7.3, 7.6, 7.4, 7.0, 7.6, 3.5, 4.6, 4.7, 4.8
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,64, 9, 4.7, 5.4, 5.5, 5.2, 3.5, 6.5, 7.0, 7.0, 6.9, 7.1, 3.5, 4.3, 4.8, 4.8
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,64,10, 4.1, 5.3, 5.8, 5.8, 4.6, 6.0, 6.9, 7.3, 7.3, 7.3, 4.4, 4.5, 5.6, 5.6
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,64,11, 2.5, 3.5, 4.0, 4.2, 3.7, 3.6, 4.4, 4.8, 4.9, 4.9, 3.0, 2.4, 3.4, 3.6
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,64,12, 2.0, 2.9, 3.3, 3.5, 3.2, 2.7, 3.4, 3.8, 3.9, 4.0, 2.4, 1.7, 2.5, 2.7
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,65, 1, 2.2, 3.0, 3.4, 3.6, 3.2, 3.0, 3.7, 4.0, 4.1, 4.2, 2.4, 1.8, 2.6, 2.8
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,65, 2, 3.3, 4.4, 4.8, 5.0, 4.2, 4.8, 5.6, 5.9, 6.0, 6.0, 3.3, 3.2, 4.1, 4.2
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,65, 3, 3.8, 4.3, 4.4, 4.3, 3.2, 4.9, 5.3, 5.4, 5.3, 5.4, 2.2, 2.6, 3.0, 3.0
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,65, 4, 5.7, 6.1, 6.0, 5.6, 3.3, 7.5, 7.9, 7.8, 7.5, 7.9, 3.9, 5.0, 5.2, 5.3
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,65, 5, 6.2, 6.3, 5.9, 5.2, 2.7, 8.1, 8.2, 7.9, 7.5, 8.3, 3.8, 5.1, 4.9, 5.2
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,65, 6, 6.4, 6.3, 5.8, 5.0, 2.3, 8.3, 8.2, 7.9, 7.3, 8.4, 3.9, 5.1, 4.8, 5.2
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,65, 7, 6.3, 6.2, 5.7, 5.0, 2.5, 8.1, 8.1, 7.8, 7.3, 8.3, 3.7, 5.0, 4.8, 5.1
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,65, 8, 6.0, 6.3, 6.1, 5.5, 3.0, 8.0, 8.2, 8.1, 7.7, 8.3, 4.0, 5.2, 5.2, 5.4
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,65, 9, 4.7, 5.4, 5.4, 5.2, 3.5, 6.4, 6.9, 7.0, 6.8, 7.0, 3.4, 4.2, 4.6, 4.6
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,65,10, 3.9, 5.0, 5.4, 5.5, 4.4, 5.6, 6.4, 6.7, 6.8, 6.8, 3.9, 3.9, 4.9, 4.9
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,65,11, 2.5, 3.4, 3.8, 4.0, 3.5, 3.5, 4.2, 4.5, 4.6, 4.7, 2.6, 2.1, 3.0, 3.2
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,65,12, 2.0, 2.8, 3.1, 3.3, 3.0, 2.7, 3.3, 3.5, 3.7, 3.8, 2.1, 1.5, 2.2, 2.4
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,66, 1, 2.4, 3.4, 3.9, 4.1, 3.7, 3.4, 4.2, 4.5, 4.7, 4.8, 2.9, 2.2, 3.2, 3.4
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,66, 2, 3.1, 4.0, 4.4, 4.5, 3.8, 4.3, 5.0, 5.3, 5.4, 5.4, 2.9, 2.7, 3.5, 3.6
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,66, 3, 4.4, 5.2, 5.4, 5.3, 3.8, 6.2, 6.8, 7.0, 6.9, 7.0, 3.5, 4.2, 4.8, 4.9
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,66, 4, 4.8, 5.1, 5.0, 4.6, 2.8, 6.0, 6.3, 6.2, 5.9, 6.3, 2.6, 3.3, 3.5, 3.5
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,66, 5, 6.4, 6.4, 6.0, 5.3, 2.7, 8.6, 8.6, 8.4, 7.9, 8.7, 4.3, 5.8, 5.6, 5.9
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,66, 6, 6.6, 6.4, 5.9, 5.1, 2.4, 8.6, 8.6, 8.2, 7.7, 8.8, 4.3, 5.6, 5.3, 5.7
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,66, 7, 6.6, 6.5, 6.1, 5.3, 2.5, 8.9, 8.9, 8.6, 8.0, 9.0, 4.4, 5.9, 5.6, 6.0
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,66, 8, 5.6, 5.8, 5.6, 5.1, 2.9, 7.3, 7.6, 7.4, 7.1, 7.6, 3.3, 4.4, 4.5, 4.6
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,66, 9, 4.7, 5.3, 5.3, 5.1, 3.4, 6.2, 6.7, 6.8, 6.6, 6.8, 3.2, 3.9, 4.3, 4.3
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,66,10, 4.1, 5.3, 5.8, 5.9, 4.7, 6.0, 6.9, 7.3, 7.3, 7.3, 4.4, 4.5, 5.6, 5.6
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,66,11, 2.6, 3.5, 4.0, 4.2, 3.7, 3.6, 4.3, 4.7, 4.8, 4.9, 2.8, 2.3, 3.2, 3.4
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,66,12, 2.2, 3.2, 3.6, 3.9, 3.7, 3.1, 3.8, 4.2, 4.5, 4.6, 2.7, 1.9, 2.8, 3.1
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,67, 1, 2.7, 4.0, 4.6, 4.9, 4.5, 3.9, 4.9, 5.4, 5.7, 5.8, 3.7, 2.8, 4.1, 4.3
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,67, 2, 3.4, 4.5, 4.9, 5.1, 4.2, 4.9, 5.7, 6.1, 6.2, 6.2, 3.6, 3.4, 4.4, 4.5
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,67, 3, 4.0, 4.6, 4.8, 4.7, 3.4, 5.2, 5.7, 5.9, 5.8, 5.9, 2.7, 3.1, 3.6, 3.6
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,67, 4, 5.0, 5.3, 5.2, 4.8, 2.9, 6.4, 6.7, 6.6, 6.3, 6.7, 3.0, 3.8, 4.0, 4.1
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,67, 5, 5.9, 5.9, 5.6, 4.9, 2.5, 7.6, 7.7, 7.5, 7.0, 7.8, 3.5, 4.7, 4.6, 4.8
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,67, 6, 5.8, 5.7, 5.2, 4.6, 2.3, 7.3, 7.2, 6.9, 6.4, 7.4, 3.0, 4.0, 3.7, 4.0
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,67, 7, 6.4, 6.3, 5.8, 5.1, 2.5, 8.3, 8.4, 8.1, 7.5, 8.5, 4.0, 5.3, 5.1, 5.4
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,67, 8, 6.1, 6.3, 6.1, 5.6, 3.1, 8.2, 8.5, 8.3, 7.9, 8.5, 4.2, 5.6, 5.6, 5.8
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,67, 9, 4.4, 4.9, 5.0, 4.8, 3.3, 5.8, 6.3, 6.3, 6.2, 6.4, 2.9, 3.5, 3.9, 4.0
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,67,10, 3.5, 4.3, 4.7, 4.7, 3.7, 4.9, 5.5, 5.7, 5.8, 5.8, 3.0, 3.2, 3.9, 3.9
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,67,11, 2.6, 3.7, 4.1, 4.3, 3.8, 3.8, 4.5, 4.9, 5.1, 5.1, 3.0, 2.5, 3.4, 3.6
SPRINGFIELD,MO, 13995, 37.23, 93.38,   387,   972,Secondary,67,12, 1.8, 2.5, 2.8, 2.9, 2.6, 2.4, 2.9, 3.1, 3.3, 3.3, 1.7, 1.2, 1.9, 2.0
